Name of Owner,Address,AccountNum,Debt Date Incurred,Basis for Claim,Contigent,Unliquidated,Disputed,offset,Total Claim,Page Number
Name on File,Address on File,On file,2/21/2021 BIA,,,,,,$432.16,10
Name on File,Address on File,On file,12/24/2021 BIA,,,,,,$19.17,10
Name on File,Address on File,On file,1/12/2021 BIA,,,,,,"$2,010.29",10
Name on File,Address on File,On file,12/19/2021 BIA,,,,,,$19.70,10
Name on File,Address on File,On file,1/12/2022 BIA,,,,,,$27.39,10
Name on File,Address on File,On file,3/7/2021 BIA,,,,,,$0.94,10
Name on File,Address on File,On file,5/14/2021 BIA,,,,,,$1.94,10
Name on File,Address on File,On file,10/21/2020 BIA,,,,,,$16.14,10
Name on File,Address on File,On file,10/27/2021 BIA,,,,,,$5.80,10
Name on File,Address on File,On file,11/7/2020 BIA,,,,,,$0.01,10
Name on File,Address on File,On file,11/8/2021 BIA,,,,,,"$1,500.55",10
Name on File,Address on File,On file,3/7/2022 BIA,,,,,,$0.85,10
Name on File,Address on File,On file,3/4/2021 BIA,,,,,,"$517,290.35",10
Name on File,Address on File,On file,4/28/2021 BIA,,,,,,"$3,895.98",10
Name on File,Address on File,On file,9/4/2020 BIA,,,,,,$4.63,10
Name on File,Address on File,On file,2/4/2022 BIA,,,,,,$0.09,10
Name on File,Address on File,On file,11/28/2021 BIA,,,,,,"$6,642.81",10
Name on File,Address on File,On file,8/18/2021 BIA,,,,,,"$9,368.84",10
Name on File,Address on File,On file,12/1/2020 BIA,,,,,,$0.36,10
Name on File,Address on File,On file,1/21/2022 BIA,,,,,,$531.78,10
Name on File,Address on File,On file,1/26/2022 BIA,,,,,,$0.36,10
Name on File,Address on File,On file,10/29/2021 BIA,,,,,,"$4,270.49",10
Name on File,Address on File,On file,1/4/2022 BIA,,,,,,$181.06,10
Name on File,Address on File,On file,4/21/2021 BIA,,,,,,$934.03,10
Name on File,Address on File,On file,1/3/2021 BIA,,,,,,$0.16,10
Name on File,Address on File,On file,1/16/2022 BIA,,,,,,$159.38,10
Name on File,Address on File,On file,3/16/2022 BIA,,,,,,$0.39,10
Name on File,Address on File,On file,1/17/2021 BIA,,,,,,$67.87,10
Name on File,Address on File,On file,2/1/2022 BIA,,,,,,$2.56,10
Name on File,Address on File,On file,1/12/2022 BIA,,,,,,$193.71,10
Name on File,Address on File,On file,1/8/2022 BIA,,,,,,$112.42,10
Name on File,Address on File,On file,8/23/2021 BIA,,,,,,$0.94,10
Name on File,Address on File,On file,4/22/2021 BIA,,,,,,$604.77,10
Name on File,Address on File,On file,3/12/2022 BIA,,,,,,"$59,601.45",10
Name on File,Address on File,On file,1/29/2021 BIA,,,,,,"$1,007.89",10
Name on File,Address on File,On file,12/1/2021 BIA,,,,,,$538.04,10
Name on File,Address on File,On file,11/24/2020 BIA,,,,,,$150.38,10
Name on File,Address on File,On file,11/26/2021 BIA,,,,,,$0.02,10
Name on File,Address on File,On file,5/16/2022 BIA,,,,,,$11.48,10
Name on File,Address on File,On file,3/28/2022 BIA,,,,,,$389.69,10
Name on File,Address on File,On file,2/9/2022 BIA,,,,,,$98.88,10
Name on File,Address on File,On file,2/3/2021 BIA,,,,,,$76.17,10
Name on File,Address on File,On file,5/7/2021 BIA,,,,,,$32.90,10
Name on File,Address on File,On file,2/19/2021 BIA,,,,,,$199.58,10
Name on File,Address on File,On file,7/7/2021 BIA,,,,,,"$16,811.44",10
Name on File,Address on File,On file,2/20/2021 BIA,,,,,,"$5,273.49",10
Name on File,Address on File,On file,11/21/2021 BIA,,,,,,$209.28,10
Name on File,Address on File,On file,4/21/2021 BIA,,,,,,$218.79,10
Name on File,Address on File,On file,6/7/2021 BIA,,,,,,$0.01,10
Name on File,Address on File,On file,1/23/2021 BIA,,,,,,$1.33,10
Name on File,Address on File,On file,2/10/2022 BIA,,,,,,$1.12,10
Name on File,Address on File,On file,1/30/2021 BIA,,,,,,"$7,473.24",10
Name on File,Address on File,On file,7/15/2021 BIA,,,,,,"$4,870.97",10
Name on File,Address on File,On file,6/19/2021 BIA,,,,,,$300.02,10
Name on File,Address on File,On file,3/7/2021 BIA,,,,,,$5.94,10
Name on File,Address on File,On file,4/9/2021 BIA,,,,,,$25.19,10
Name on File,Address on File,On file,2/19/2021 BIA,,,,,,"$3,103.04",10
Name on File,Address on File,On file,7/14/2021 BIA,,,,,,$875.43,10
Name on File,Address on File,On file,3/15/2022 BIA,,,,,,$488.19,10
Name on File,Address on File,On file,7/9/2021 BIA,,,,,,$661.11,10
Name on File,Address on File,On file,1/20/2021 BIA,,,,,,"$3,956.95",10
Name on File,Address on File,On file,2/4/2022 BIA,,,,,,$0.47,10
Name on File,Address on File,On file,2/18/2021 BIA,,,,,,"$4,524.37",10
Name on File,Address on File,On file,3/24/2021 BIA,,,,,,$284.56,11
Name on File,Address on File,On file,7/8/2021 BIA,,,,,,$8.85,11
Name on File,Address on File,On file,2/9/2022 BIA,,,,,,$2.43,11
Name on File,Address on File,On file,4/17/2021 BIA,,,,,,"$3,938.30",11
Name on File,Address on File,On file,1/5/2021 BIA,,,,,,"$5,165.67",11
Name on File,Address on File,On file,4/10/2021 BIA,,,,,,$2.80,11
Name on File,Address on File,On file,8/30/2021 BIA,,,,,,"$1,969.30",11
Name on File,Address on File,On file,3/31/2022 BIA,,,,,,"$1,969.54",11
Name on File,Address on File,On file,4/20/2022 BIA,,,,,,$122.13,11
Name on File,Address on File,On file,3/18/2021 BIA,,,,,,"$1,083.70",11
Name on File,Address on File,On file,4/7/2022 BIA,,,,,,$54.25,11
Name on File,Address on File,On file,3/31/2022 BIA,,,,,,$260.14,11
Name on File,Address on File,On file,4/6/2021 BIA,,,,,,$26.67,11
Name on File,Address on File,On file,2/19/2021 BIA,,,,,,$13.84,11
Name on File,Address on File,On file,4/20/2021 BIA,,,,,,"$38,900.44",11
Name on File,Address on File,On file,1/25/2022 BIA,,,,,,$23.21,11
Name on File,Address on File,On file,5/3/2022 BIA,,,,,,$174.90,11
Name on File,Address on File,On file,10/10/2021 BIA,,,,,,"$9,808.93",11
Name on File,Address on File,On file,1/17/2021 BIA,,,,,,$2.95,11
Name on File,Address on File,On file,1/23/2022 BIA,,,,,,$0.25,11
Name on File,Address on File,On file,7/3/2020 BIA,,,,,,"$3,838.41",11
Name on File,Address on File,On file,5/21/2021 BIA,,,,,,$221.95,11
Name on File,Address on File,On file,2/16/2021 BIA,,,,,,"$1,855.09",11
Name on File,Address on File,On file,2/20/2021 BIA,,,,,,$2.50,11
Name on File,Address on File,On file,7/7/2021 BIA,,,,,,$0.02,11
Name on File,Address on File,On file,5/13/2021 BIA,,,,,,"$3,980.63",11
Name on File,Address on File,On file,3/6/2021 BIA,,,,,,$132.15,11
Name on File,Address on File,On file,5/27/2021 BIA,,,,,,"$1,116.04",11
Name on File,Address on File,On file,9/6/2021 BIA,,,,,,$44.37,11
Name on File,Address on File,On file,8/24/2021 BIA,,,,,,$0.01,11
Name on File,Address on File,On file,7/8/2020 BIA,,,,,,"$6,494.86",11
Name on File,Address on File,On file,12/18/2020 BIA,,,,,,$12.46,11
Name on File,Address on File,On file,6/8/2020 BIA,,,,,,$832.84,11
Name on File,Address on File,On file,9/7/2021 BIA,,,,,,"$2,366.15",11
Name on File,Address on File,On file,2/13/2022 BIA,,,,,,$505.77,11
Name on File,Address on File,On file,9/26/2021 BIA,,,,,,$0.11,11
